pixel_id,latitude,longitude
8451,-20.2500,-64.2500
8452,-20.2500,-64.0000
8453,-20.2500,-63.7500
8454,-20.2500,-63.5000
8569,-20.0000,-64.5000
8570,-20.0000,-64.2500
8571,-20.0000,-64.0000
8572,-20.0000,-63.7500
8573,-20.0000,-63.5000
8574,-20.0000,-63.2500
8689,-19.7500,-64.5000
8690,-19.7500,-64.2500
8691,-19.7500,-64.0000
8692,-19.7500,-63.7500
8693,-19.7500,-63.5000
8694,-19.7500,-63.2500
8695,-19.7500,-63.0000
8696,-19.7500,-62.7500
8810,-19.5000,-64.5000
8811,-19.5000,-64.2500
8812,-19.5000,-64.0000
8813,-19.5000,-63.7500
8814,-19.5000,-63.5000
8815,-19.5000,-63.2500
8816,-19.5000,-63.0000
8817,-19.5000,-62.7500
8818,-19.5000,-62.5000
8931,-19.2500,-64.7500
8932,-19.2500,-64.5000
8933,-19.2500,-64.2500
8934,-19.2500,-64.0000
8935,-19.2500,-63.7500
8936,-19.2500,-63.5000
8937,-19.2500,-63.2500
8938,-19.2500,-63.0000
8939,-19.2500,-62.7500
8940,-19.2500,-62.5000
9048,-19.0000,-66.2500
9052,-19.0000,-65.2500
9053,-19.0000,-65.0000
9054,-19.0000,-64.7500
9055,-19.0000,-64.5000
9056,-19.0000,-64.2500
9057,-19.0000,-64.0000
9058,-19.0000,-63.7500
9059,-19.0000,-63.5000
9060,-19.0000,-63.2500
9061,-19.0000,-63.0000
9062,-19.0000,-62.7500
9063,-19.0000,-62.5000
9064,-19.0000,-62.2500
9065,-19.0000,-62.0000
9066,-19.0000,-61.7500
9170,-18.7500,-66.5000
9171,-18.7500,-66.2500
9172,-18.7500,-66.0000
9173,-18.7500,-65.7500
9174,-18.7500,-65.5000
9175,-18.7500,-65.2500
9176,-18.7500,-65.0000
9177,-18.7500,-64.7500
9178,-18.7500,-64.5000
9179,-18.7500,-64.2500
9180,-18.7500,-64.0000
9181,-18.7500,-63.7500
9182,-18.7500,-63.5000
9183,-18.7500,-63.2500
9184,-18.7500,-63.0000
9185,-18.7500,-62.7500
9186,-18.7500,-62.5000
9187,-18.7500,-62.2500
9188,-18.7500,-62.0000
9189,-18.7500,-61.7500
9190,-18.7500,-61.5000
9191,-18.7500,-61.2500
9192,-18.7500,-61.0000
9193,-18.7500,-60.7500
9293,-18.5000,-66.5000
9294,-18.5000,-66.2500
9295,-18.5000,-66.0000
9296,-18.5000,-65.7500
9297,-18.5000,-65.5000
9298,-18.5000,-65.2500
9299,-18.5000,-65.0000
9300,-18.5000,-64.7500
9301,-18.5000,-64.5000
9302,-18.5000,-64.2500
9303,-18.5000,-64.0000
9304,-18.5000,-63.7500
9305,-18.5000,-63.5000
9306,-18.5000,-63.2500
9307,-18.5000,-63.0000
9308,-18.5000,-62.7500
9309,-18.5000,-62.5000
9310,-18.5000,-62.2500
9311,-18.5000,-62.0000
9312,-18.5000,-61.7500
9313,-18.5000,-61.5000
9314,-18.5000,-61.2500
9315,-18.5000,-61.0000
9316,-18.5000,-60.7500
9317,-18.5000,-60.5000
9416,-18.2500,-66.7500
9417,-18.2500,-66.5000
9418,-18.2500,-66.2500
9419,-18.2500,-66.0000
9420,-18.2500,-65.7500
9421,-18.2500,-65.5000
9422,-18.2500,-65.2500
9423,-18.2500,-65.0000
9424,-18.2500,-64.7500
9425,-18.2500,-64.5000
9426,-18.2500,-64.2500
9427,-18.2500,-64.0000
9428,-18.2500,-63.7500
9429,-18.2500,-63.5000
9430,-18.2500,-63.2500
9431,-18.2500,-63.0000
9432,-18.2500,-62.7500
9433,-18.2500,-62.5000
9434,-18.2500,-62.2500
9435,-18.2500,-62.0000
9436,-18.2500,-61.7500
9437,-18.2500,-61.5000
