k,paper_beta,paper-literal__binary__beta,paper-literal__binary__se,paper-literal__composition__beta,paper-literal__composition__se,season-matched__binary__beta,season-matched__binary__se,season-matched__composition__beta,season-matched__composition__se,authors-346__binary__beta,authors-346__binary__se,authors-346__composition__beta,authors-346__composition__se
1,0.0811,-0.0010922818034913876,0.0002067169962696853,0.0036575883898439794,0.0027021566372690577,0.0032214749411834053,0.00024788949670954247,0.0908309334290991,0.005010469917523711,0.004928141200453817,0.0002494902598371008,0.14693422081225196,0.004855531571588127
2,0.0391,0.0010528538677242508,0.00019841252177627922,-0.0005790595763089802,0.0012682008930842304,0.0025489187965229043,0.00022476721844849466,0.005154135550250259,0.0017276047161474723,0.0043197214661388,0.00022388644863706602,0.014318557750836972,0.0017163896014156998
3,0.0262,0.0005916576472644585,0.00019219889410419786,0.0014632841095264715,0.0009558390872076208,0.001567587182149719,0.00020580322189084777,0.005865064508100007,0.0011570915336691716,0.00254410831439153,0.00020604990568126334,0.011120538300646998,0.001155530603223497
4,0.0197,0.0005155691320907627,0.0001983048504531855,-0.00010277066464646972,0.0009480421535906563,0.001071563014146777,0.00020832247607973031,0.0019991768962809996,0.0010454353466540142,0.0019204406243299007,0.000207727497889519,0.005753802065664883,0.0010327280350429728
5,0.0152,0.000432275086245636,0.0001981779651915024,-0.0007628780011537954,0.0009818134873162698,0.000707432469981104,0.00020008939601353845,0.0005651850287460447,0.0010114828600030856,0.001399164295790673,0.00020105077103530332,0.003540054158312322,0.0009965014816789007
6,0.01,0.00016659641824426838,0.00020301641148844104,0.0007140163262334345,0.0010031813531160307,0.0004701818635674733,0.00020589540905975652,0.0009352892104567098,0.0009724737014543631,0.0007983514883056571,0.0002049233249255743,0.0032216563785282047,0.0009580900053859692
7,0.0076,9.050989761743169e-05,0.00019994070765602632,-0.0007464142179694545,0.0009467695572836403,0.0003302985458153004,0.0002048229785458579,0.0007706076828110994,0.0009367683481237125,0.0006729108765776753,0.00020365785396103445,0.002349784294715443,0.0009111811311187151
8,0.0093,0.00033285312730065166,0.000208105578764845,-0.0006008189497001505,0.000926868546438686,0.0005969192091359538,0.00020760156702346775,0.00029502032165597925,0.000895009243670326,0.0009345036718171551,0.0002064756267109912,0.002281264795247862,0.0008777683651670809
9,0.0091,0.0001907606109021271,0.00021248711390250464,-0.0002636980224863969,0.0009265630573071032,0.00025870616229861214,0.000211911623614313,-0.0002834589484887496,0.0008972728277428522,0.0005918518213486237,0.00021149434945508624,0.0016267560559214884,0.0008777506999849314
10,0.0058,0.0003906339315935078,0.000210676609729199,0.0008047916273301726,0.0008825605087932222,0.00044391820064387035,0.00020997208375037846,0.00027599123554040376,0.0008586434872856658,0.0006586307660920734,0.0002090765532487594,0.0015392197634741677,0.0008373074191249791
11,0.005,0.00031150088625954496,0.00020666545179942624,-0.00048220987709891877,0.0008318413082052682,0.0004860588245421689,0.00020539725563707736,5.425281257503482e-05,0.0007961462833217009,0.0006863527190316507,0.0002060910936793822,0.0017386527461952456,0.0007795822975812868
12,0.0043,0.00016218624833002062,0.00020691133578345822,-0.0012850464365170384,0.0008456086177239925,0.0002215232725509951,0.00020384350561233734,-0.0004972436931591116,0.0007714635556344385,0.00047539180778716374,0.00020238957678585077,0.00034814134463686516,0.0007538899679548142
13,0.0028,-0.0001553276811602114,0.00020946025851438326,0.0004554647592681522,0.0008300462901574704,-9.891009623928333e-05,0.00020702922745876118,-0.000460044227495536,0.0007795631936276503,8.192029614073081e-05,0.00020522341142461186,0.0008960121405562358,0.0007617175251645212
14,0.0036,-5.643551113023947e-05,0.00021135453061693157,-0.001521977625368992,0.0008476475486253025,0.00014833125592797822,0.00020901810833106476,-0.0009353008558309126,0.0007750216218402106,0.0002330985452445204,0.00020808662589673327,-6.003230781291795e-05,0.0007576672656495933
15,0.0026,0.00014400996073192938,0.00020807335938647877,0.0016270264291135782,0.000834562888597676,0.0001995875786965476,0.00020453564592873147,0.0009688095985900659,0.0007350794003206519,0.0003619341673282765,0.00020279133128757172,0.0018145586383017738,0.0007258645676484606
16,0.0029,3.45641399376102e-05,0.00020876975801174485,-0.0006583097857355243,0.0008189913252080493,1.988869796579903e-06,0.00020604617151899208,-0.0009944514583523486,0.0007702336950017981,0.00028010275000333283,0.00020572593058654616,6.30729220751754e-05,0.0007582022555500521
17,0.0028,-2.3221245230408707e-05,0.0002133217339106134,-0.0004912401288383489,0.0008094861808805396,-6.669286854323025e-05,0.0002108500252204319,-0.0012947537545686797,0.000759875799292927,8.730179520515874e-05,0.0002102762078761905,-0.0005679333591775822,0.0007370310188033552
18,0.005,0.00018147534632085105,0.00021211543556858418,-0.00011434217441110398,0.0008108317093552305,0.0002701350914178483,0.00020872051138075731,-0.0011247481467472494,0.0007147474265611737,0.0003131921783970435,0.00020918610280364752,-0.0004679266325219122,0.000701194705623012
19,0.0017,0.00040872080964759875,0.00020676967728963113,0.0008039936966488651,0.0008070164444616524,0.0003121629796505465,0.00020308263610484633,-0.0001564560674805267,0.0007218715395558731,0.0006066407012703918,0.00020169231262866515,0.000784781750390719,0.0007116451649351214
20,0.004,-9.302549200483666e-05,0.0001906273913610022,-0.0004804089270753073,0.0007018412562429502,0.0002258660730259421,0.0001897954242703231,0.0004724764322344887,0.0006493269151238626,0.00045263153973347986,0.00018994751775766448,0.0015423682024252963,0.0006423003067958809
